,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
0,"Acy, Quincy",Sacramento,Y,kings,2016,Kings,quincy_acy,Quincy Acy,203112,2012,SAC,1,0.735,0.784,0.625
1,"Adams, Jordan",Memphis,Y,grizzlies,2016,Grizzlies,jordan_adams,Jordan Adams,203919,2014,MEM,1,0.6,0.609,-1
2,"Adams, Steven",Oklahoma City,Y,thunder,2016,Thunder,steven_adams,Steven Adams,203500,2013,OKC,1,0.582,0.502,0.581
3,"Adrien, Jeff",Milwaukee,Y,bucks,2014,Bucks,jeff_adrien,Jeff Adrien,202399,2010,MIL,1,-1,0.579,0.52
4,"Afflalo, Arron",New York,Y,knicks,2016,Knicks,arron_afflalo,Arron Afflalo,201167,2007,NYK,1,0.84,0.841,0.815
5,"Ajinca, Alexis",New Orleans,Y,pelicans,2016,Pelicans,alexis_ajinca,Alexis Ajinca,201582,2008,NOP,1,0.839,0.818,0.836
6,"Aldemir, Furkan",Philadelphia,Y,sixers,2014,76ers,furkan_aldemir,Furkan Aldemir,203128,2014,PHI,1,-1,0.481,-1
7,"Aldrich, Cole",LA,Y,clippers,2016,Clippers,cole_aldrich,Cole Aldrich,202332,2010,LAC,1,0.714,0.781,0.867
8,"Aldridge, LaMarcus",San Antonio,Y,spurs,2016,Spurs,lamarcus_aldridge,LaMarcus Aldridge,200746,2006,SAS,1,0.858,0.845,0.822
9,"Alexander, Cliff",Portland,Y,blazers,2016,Trail Blazers,cliff_alexander,Cliff Alexander,1626146,2015,POR,1,0,-1,-1
10,"Allen, Lavoy",Indiana,Y,pacers,2016,Pacers,lavoy_allen,Lavoy Allen,202730,2011,IND,1,0.63,0.702,0.675
11,"Allen, Ray",Miami,Y,heat,2013,Heat,ray_allen,Ray Allen,951,1996,MIA,1,-1,-1,0.905
12,"Allen, Tony",Memphis,Y,grizzlies,2016,Grizzlies,tony_allen,Tony Allen,2754,2004,MEM,1,0.652,0.627,0.628
13,"Aminu, Al-Farouq",Portland,Y,blazers,2016,Trail Blazers,al-farouq_aminu,Al-Farouq Aminu,202329,2010,POR,1,0.737,0.712,0.664
14,"Amundson, Lou",New York,Y,knicks,2016,Knicks,lou_amundson,Lou Amundson,200811,2006,NYK,1,0.519,0.6,0.25
15,"Andersen, Chris",Memphis,Y,grizzlies,2016,Grizzlies,chris_andersen,Chris Andersen,2365,2001,MEM,1,0.75,0.667,0.71
16,"Anderson, Alan",Washington,Y,wizards,2016,Wizards,alan_anderson,Alan Anderson,101187,2005,WAS,1,0.733,0.812,0.78
17,"Anderson, James",Sacramento,Y,kings,2015,Kings,james_anderson,James Anderson,202341,2010,SAC,1,0.759,-1,0.726
18,"Anderson, Justin",Dallas,Y,mavericks,2016,Mavericks,justin_anderson,Justin Anderson,1626147,2015,DAL,1,0.8,-1,-1
19,"Anderson, Kyle",San Antonio,Y,spurs,2016,Spurs,kyle_anderson,Kyle Anderson,203937,2014,SAS,1,0.747,0.643,-1
20,"Anderson, Ryan",New Orleans,Y,pelicans,2016,Pelicans,ryan_j_anderson,Ryan Anderson,201583,2008,NOP,1,0.873,0.854,0.952
21,"Antetokounmpo, Giannis",Milwaukee,Y,bucks,2016,Bucks,giannis_antetokounmpo,Giannis Antetokounmpo,203507,2013,MIL,1,0.724,0.741,0.683
22,"Antetokounmpo, Thanasis",,Y,,2015,,thanasis_antetokounmpo,Thanasis Antetokounmpo,203648,2015,,0,0,-1,-1
