,nickname,gpReg,city,coachLast,gpPlayoff,coachFirst,startDate,endDate
0,Hawks,82,ATL,Budenholzer,10,Mike,10/1/15,6/30/16
1,Nets,37,BKN,Hollins,0,Lionel,10/1/15,1/10/16
2,Nets,45,BKN,Brown,0,Tony,1/10/16,6/30/16
3,Celtics,82,BOS,Stevens,6,Brad,10/1/15,6/30/16
4,Bulls,82,CHI,Hoiberg,0,Fred,10/1/15,6/30/16
5,Hornets,82,CHA,Clifford,7,Steve,10/1/15,6/30/16
6,Cavaliers,41,CLE,Blatt,0,David,10/1/15,1/22/16
7,Cavaliers,41,CLE,Lue,21,Tyronn,1/22/16,6/30/16
8,Mavericks,82,DAL,Carlisle,5,Rick,10/1/15,6/30/16
9,Nuggets,82,DEN,Malone,0,Mike,10/1/15,6/30/16
10,Pistons,82,DET,Van Gundy,4,Stan,10/1/15,6/30/16
11,Warriors,43,GSW,Walton,0,Luke,10/1/15,1/4/16
12,Warriors,39,GSW,Kerr,24,Steve,1/4/16,6/30/16
13,Rockets,11,HOU,McHale,0,Kevin,10/1/15,11/18/15
14,Rockets,71,HOU,Bickerstaff,5,J.B.,11/18/15,6/30/16
15,Pacers,82,IND,Vogel,7,Frank,10/1/15,6/30/16
16,Clippers,82,LAC,Rivers,6,Doc,10/1/15,6/30/16
17,Lakers,82,LAL,Scott,0,Byron,10/1/15,6/30/16
18,Grizzlies,82,MEM,Joerger,4,David,10/1/15,6/30/16
19,Heat,82,MIA,Spoelstra,14,Erik,10/1/15,6/30/16
20,Bucks,82,MIL,Kidd,0,Jason,10/1/15,6/30/16
21,Timberwolves,82,MIN,Mitchell,0,Sam,10/1/15,6/30/16
22,Pelicans,82,NOP,Gentry,0,Alvin,10/1/15,6/30/16
23,Knicks,54,NYK,Fisher,0,Derek,10/1/15,2/8/16
24,Knicks,28,NYK,Rambis,0,Kurt,2/8/16,6/30/16
25,Thunder,82,OKC,Donovan,21,Billy,10/1/15,6/30/16
26,Magic,82,ORL,Skiles,0,Scott,10/1/15,6/30/16
27,76ers,82,PHI,Brown,0,Brett,10/1/15,6/30/16
28,Suns,49,PHX,Hornacek,0,Jeff,10/1/15,2/1/16
29,Suns,33,PHX,Watson,0,Earl,2/1/16,6/30/16
30,Trail Blazers,82,POR,Stotts,11,Terry,10/1/15,6/30/16
31,Kings,82,SAC,Karl,0,George,10/1/15,6/30/16
32,Spurs,82,SAS,Popovich,10,Gregg,10/1/15,6/30/16
33,Raptors,82,TOR,Casey,20,Dwane,10/1/15,6/30/16
34,Jazz,82,UTA,Snyder,0,Quin,10/1/15,6/30/16
35,Wizards,82,WAS,Wittman,0,Randy,10/1/15,6/30/16
36,Hawks,82,ATL,Budenholzer,16,Mike,10/1/14,6/30/15
37,Nets,82,BKN,Hollins,6,Lionel,10/1/14,6/30/15
38,Celtics,82,BOS,Stevens,4,Brad,10/1/14,6/30/15
39,Bulls,82,CHI,Thibodeau,12,Tom,10/1/14,6/30/15
40,Hornets,82,CHA,Clifford,7,Steve,10/1/14,6/30/15
41,Cavaliers,82,CLE,Blatt,20,David,10/1/14,6/30/15
