"","GameID","Season","Date","Playoffs","Team","Opp","Coach","Location","HackedPlayerID","HackedFTRate","StartQ","StartTime","StartMargin","PlayerRemoved","PlayerRestTime","EndQ","EndTime","EndMargin","NumPoss","FTM","FTA","ReturnMargin","X2ndChancePts","Win"
"1",21500001,15,"2015-10-27 00:00:00",0,"ATL","DET","('Budenholzer', 'Mike')",1,203083,0.355,3,"4:33",-17,0,0,3,"3:50",-16,1,1,2,Inf,0,0
"3",21500020,15,"2015-10-29 00:00:00",0,"DAL","LAC","('Carlisle', 'Rick')",-1,201599,0.43,2,"0:59",-10,1,20,2,"0:20",-6,2,1,4,-8,0,0
"4",21500020,15,"2015-10-29 00:00:00",0,"DAL","LAC","('Carlisle', 'Rick')",-1,2746,0.595,3,"2:59",-11,0,0,3,"2:19",-12,1,1,2,Inf,0,0
"5",21500020,15,"2015-10-29 00:00:00",0,"DAL","LAC","('Carlisle', 'Rick')",-1,2746,0.595,3,"1:55",-10,0,0,3,"1:26",-13,1,2,2,Inf,0,0
"6",21500038,15,"2015-10-31 00:00:00",0,"SAC","LAC","('Karl', 'George')",-1,201599,0.43,4,"2:46",-5,0,0,4,"1:36",-3,2,3,5,Inf,0,0
"10",21500084,15,"2015-11-06 00:00:00",0,"SAC","HOU","('Karl', 'George')",1,203991,0.379,4,"2:16",-8,0,0,4,"1:33",-7,0,1,2,Inf,0,0
"11",21500093,15,"2015-11-07 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",1,203991,0.379,4,"6:05",-8,0,0,4,"5:30",-11,2,3,4,Inf,0,0
"12",21500093,15,"2015-11-07 00:00:00",0,"HOU","LAC","('McHale', 'Kevin')",-1,201599,0.43,4,"3:40",5,1,108,4,"2:52",5,2,2,4,1,0,1
"13",21500098,15,"2015-11-08 00:00:00",0,"POR","DET","('Stotts', 'Terry')",1,203083,0.355,4,"2:27",-11,0,0,4,"1:27",-14,3,1,6,Inf,3,0
"14",21500116,15,"2015-11-11 00:00:00",0,"BOS","IND","('Stevens', 'Brad')",1,101133,0.587,2,"3:09",-7,0,0,2,"2:44",-6,1,1,2,Inf,0,0
"15",21500116,15,"2015-11-11 00:00:00",0,"BOS","IND","('Stevens', 'Brad')",1,101133,0.587,2,"2:33",-4,0,0,2,"1:55",-7,1,1,2,Inf,2,0
"16",21500118,15,"2015-11-11 00:00:00",0,"DAL","LAC","('Carlisle', 'Rick')",1,201599,0.43,1,"4:38",0,0,0,1,"4:09",-1,1,1,2,Inf,0,1
"17",21500118,15,"2015-11-11 00:00:00",0,"DAL","LAC","('Carlisle', 'Rick')",1,201599,0.43,4,"5:25",-2,1,168,4,"4:11",0,2,2,6,-1,0,1
"24",21500138,15,"2015-11-14 00:00:00",0,"LAC","DET","('Rivers', 'Doc')",1,203083,0.355,3,"4:23",-9,0,0,3,"3:39",-7,1,1,2,Inf,0,1
"25",21500138,15,"2015-11-14 00:00:00",0,"LAC","DET","('Rivers', 'Doc')",1,203083,0.355,3,"3:25",-6,1,190,3,"3:10",-6,0,0,2,1,0,1
"26",21500138,15,"2015-11-14 00:00:00",0,"LAC","DET","('Rivers', 'Doc')",1,203083,0.355,4,"5:27",3,0,0,4,"4:47",3,1,2,4,Inf,0,1
"27",21500149,15,"2015-11-15 00:00:00",0,"BOS","OKC","('Stevens', 'Brad')",-1,203500,0.582,2,"1:06",-9,0,0,2,"0:33",-8,1,1,2,Inf,0,1
"35",21500175,15,"2015-11-19 00:00:00",0,"SAC","MIA","('Karl', 'George')",-1,202355,0.65,3,"2:12",-7,0,0,3,"0:43",-7,3,4,4,Inf,0,0
"38",21500186,15,"2015-11-20 00:00:00",0,"POR","LAC","('Stotts', 'Terry')",1,201599,0.43,2,"1:10",2,1,45,2,"0:45",3,1,1,4,1,0,1
"58",21500254,15,"2015-11-30 00:00:00",0,"HOU","DET","('Bickerstaff', 'J.B.')",-1,203083,0.355,3,"5:11",-18,1,268,3,"4:28",-18,3,2,8,-11,0,0
"59",21500254,15,"2015-11-30 00:00:00",0,"HOU","DET","('Bickerstaff', 'J.B.')",-1,203083,0.355,4,"4:07",-13,1,128,4,"4:04",-13,0,0,2,1,0,0
"60",21500260,15,"2015-11-30 00:00:00",0,"DAL","SAC","('Carlisle', 'Rick')",-1,200765,0.58,2,"2:44",1,0,0,2,"0:45",2,4,1,4,Inf,0,0
"61",21500260,15,"2015-11-30 00:00:00",0,"DAL","SAC","('Carlisle', 'Rick')",-1,200765,0.58,2,"0:36",3,0,0,2,"0:01",4,1,1,2,Inf,0,0
"62",21500260,15,"2015-11-30 00:00:00",0,"DAL","SAC","('Carlisle', 'Rick')",-1,200765,0.58,3,"3:51",-6,0,0,3,"3:31",-6,1,0,2,Inf,0,0
"63",21500260,15,"2015-11-30 00:00:00",0,"DAL","SAC","('Carlisle', 'Rick')",-1,200765,0.58,3,"3:26",-6,0,0,3,"2:52",-8,1,2,2,Inf,0,0
"64",21500260,15,"2015-11-30 00:00:00",0,"DAL","SAC","('Carlisle', 'Rick')",-1,200765,0.58,4,"3:27",-11,0,0,4,"2:52",-14,2,3,4,Inf,0,0
"65",21500261,15,"2015-11-30 00:00:00",0,"POR","LAC","('Stotts', 'Terry')",-1,201599,0.43,2,"3:34",5,0,0,2,"2:29",1,2,2,4,Inf,0,0
"66",21500261,15,"2015-11-30 00:00:00",0,"POR","LAC","('Stotts', 'Terry')",-1,201599,0.43,3,"5:11",-7,0,0,3,"4:36",-9,1,0,2,Inf,0,0
"67",21500261,15,"2015-11-30 00:00:00",0,"POR","LAC","('Stotts', 'Terry')",-1,201599,0.43,3,"3:38",-9,1,190,3,"3:10",-9,1,0,4,-10,0,0
"68",21500261,15,"2015-11-30 00:00:00",0,"POR","LAC","('Stotts', 'Terry')",-1,201599,0.43,4,"3:51",-14,0,0,4,"1:45",-15,9,8,18,Inf,0,0
"69",21500267,15,"2015-12-01 00:00:00",0,"DAL","POR","('Carlisle', 'Rick')",-1,202334,0.559,4,"2:59",-5,0,0,4,"2:32",-7,1,2,2,Inf,0,1
"75",21500276,15,"2015-12-02 00:00:00",0,"LAC","IND","('Rivers', 'Doc')",1,101133,0.587,4,"3:13",-6,1,41,4,"2:28",-8,2,4,6,-1,0,0
"83",21500371,15,"2015-12-16 00:00:00",0,"DAL","IND","('Carlisle', 'Rick')",-1,101133,0.587,2,"1:26",2,0,0,2,"1:01",-1,1,1,2,Inf,0,0
"84",21500371,15,"2015-12-16 00:00:00",0,"DAL","IND","('Carlisle', 'Rick')",-1,101133,0.587,2,"0:13",-1,0,0,3,"11:46",2,1,0,2,Inf,0,0
"85",21500374,15,"2015-12-16 00:00:00",0,"BOS","DET","('Stevens', 'Brad')",-1,203083,0.355,3,"5:37",-9,1,296,3,"4:56",-8,2,3,6,-2,0,0
"86",21500374,15,"2015-12-16 00:00:00",0,"BOS","DET","('Stevens', 'Brad')",-1,203083,0.355,4,"2:36",-4,1,156,4,"2:36",-4,0,0,0,-3,0,0
"89",21500393,15,"2015-12-18 00:00:00",0,"SAS","LAC","('Popovich', 'Gregg')",1,201599,0.43,2,"0:39",-1,1,25,2,"0:29",1,1,0,2,-1,0,1
"90",21500393,15,"2015-12-18 00:00:00",0,"SAS","LAC","('Popovich', 'Gregg')",1,201599,0.43,3,"2:38",-4,1,34,3,"0:34",-2,6,6,12,-3,0,1
"91",21500393,15,"2015-12-18 00:00:00",0,"SAS","LAC","('Popovich', 'Gregg')",1,201599,0.43,4,"8:57",8,0,0,4,"8:19",6,2,2,4,Inf,0,1
"92",21500393,15,"2015-12-18 00:00:00",0,"SAS","LAC","('Popovich', 'Gregg')",1,201599,0.43,4,"4:33",8,0,0,4,"4:13",8,0,0,2,Inf,0,1
"93",21500401,15,"2015-12-19 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",-1,2730,0.489,2,"6:57",-21,0,0,2,"5:38",-17,4,4,8,Inf,0,0
"94",21500401,15,"2015-12-19 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",-1,203991,0.379,2,"5:20",-15,0,0,2,"4:48",-17,1,2,2,Inf,0,0
"95",21500401,15,"2015-12-19 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",-1,203991,0.379,2,"4:34",-14,0,0,2,"4:09",-16,1,0,2,Inf,0,0
"96",21500401,15,"2015-12-19 00:00:00",0,"HOU","LAC","('Bickerstaff', 'J.B.')",1,201599,0.43,2,"3:58",16,1,214,2,"3:34",18,1,0,2,11,0,1
"97",21500401,15,"2015-12-19 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",-1,2730,0.489,2,"2:29",-14,1,135,2,"2:15",-14,1,1,2,-11,0,0
"98",21500401,15,"2015-12-19 00:00:00",0,"LAC","HOU","('Rivers', 'Doc')",-1,203991,0.379,3,"1:11",-13,1,70,3,"1:10",-14,0,1,2,-12,0,0
