AST,BLK,DREB,FG_PCT,FG3_PCT,FG3A,FG3M,FGA,FGM,FT_PCT,FTA,FTM,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
19,3,33,0.43,0.333,30,10,79,34,0.955,22,21,4/19/15,41400101,ATL vs. BKN,240,6,21,7,99,39,42014,11,ATL,1610612737,Atlanta Hawks,14,1,W
18,0,35,0.456,0.25,20,5,79,36,0.682,22,15,4/19/15,41400101,BKN @ ATL,240,12,19,-7,92,47,42014,8,BKN,1610612751,Brooklyn Nets,17,1,L
18,0,35,0.456,0.25,20,5,79,36,0.682,22,15,4/19/15,41400101,BKN @ ATL,240,12,19,-7,92,47,42014,8,BKN,1610612751,Brooklyn Nets,17,1,L
27,7,33,0.389,0.387,31,12,90,35,0.737,19,14,4/22/15,41400102,ATL vs. BKN,240,8,18,5,96,41,42014,11,ATL,1610612737,Atlanta Hawks,9,1,W
23,5,41,0.449,0.308,26,8,78,35,0.722,18,13,4/22/15,41400102,BKN @ ATL,240,8,21,-5,91,49,42014,6,BKN,1610612751,Brooklyn Nets,16,1,L
23,5,41,0.449,0.308,26,8,78,35,0.722,18,13,4/22/15,41400102,BKN @ ATL,240,8,21,-5,91,49,42014,6,BKN,1610612751,Brooklyn Nets,16,1,L
24,2,40,0.386,0.318,22,7,83,32,0.8,25,20,4/25/15,41400103,BKN vs. ATL,240,12,17,8,91,52,42014,8,BKN,1610612751,Brooklyn Nets,15,1,W
22,5,37,0.356,0.2,30,6,90,32,0.765,17,13,4/25/15,41400103,ATL @ BKN,240,14,21,-8,83,51,42014,11,ATL,1610612737,Atlanta Hawks,16,1,L
24,2,40,0.386,0.318,22,7,83,32,0.8,25,20,4/25/15,41400103,BKN vs. ATL,240,12,17,8,91,52,42014,8,BKN,1610612751,Brooklyn Nets,15,1,W
22,5,37,0.356,0.2,30,6,90,32,0.765,17,13,4/25/15,41400103,ATL @ BKN,240,14,21,-8,83,51,42014,11,ATL,1610612737,Atlanta Hawks,16,1,L
25,5,29,0.479,0.452,31,14,96,46,0.667,21,14,4/27/15,41400104,BKN vs. ATL,265,11,19,5,120,40,42014,13,BKN,1610612751,Brooklyn Nets,10,1,W
27,6,37,0.484,0.394,33,13,95,46,0.667,15,10,4/27/15,41400104,ATL @ BKN,265,18,19,-5,115,55,42014,7,ATL,1610612737,Atlanta Hawks,18,1,L
25,4,35,0.482,0.394,33,13,83,40,0.7,20,14,4/29/15,41400105,ATL vs. BKN,240,8,11,10,107,43,42014,9,ATL,1610612737,Atlanta Hawks,11,1,W
