MIN,FG3M,FG3A,TEAM_NAME,AST,FG_PCT,OREB,PLUS_MINUS,MATCHUP,TEAM_ABBREVIATION,PTS,FTA,FTM,GAME_ID,SEASON_ID,FGM,WL,PF,FGA,BLK,REB,FT_PCT,DREB,STL,FG3_PCT,GAME_DATE,TOV,VIDEO_AVAILABLE,TEAM_ID
240,12,35,Cleveland Cavaliers,25,0.443,12,5,CLE vs. DET,CLE,106,21,16,41500101,42015,39,W,18,88,4,40,0.762,28,7,0.343,4/17/16,5,1,1610612739
240,15,29,Detroit Pistons,24,0.507,5,-5,DET @ CLE,DET,101,16,12,41500101,42015,37,L,21,73,2,37,0.75,32,4,0.517,4/17/16,12,1,1610612765
240,20,38,Cleveland Cavaliers,23,0.5,6,17,CLE vs. DET,CLE,107,14,7,41500102,42015,40,W,24,80,1,37,0.5,31,7,0.526,4/20/16,13,1,1610612739
240,4,17,Detroit Pistons,19,0.436,11,-17,DET @ CLE,DET,90,32,18,41500102,42015,34,L,18,78,4,40,0.563,29,7,0.235,4/20/16,13,1,1610612765
240,12,29,Cleveland Cavaliers,24,0.488,12,10,CLE @ DET,CLE,101,15,11,41500103,42015,39,W,17,80,4,46,0.733,34,3,0.414,4/22/16,10,1,1610612739
240,6,23,Detroit Pistons,22,0.486,5,-10,DET vs. CLE,DET,91,19,13,41500103,42015,36,L,19,74,3,32,0.684,27,7,0.261,4/22/16,8,1,1610612765
240,13,36,Cleveland Cavaliers,16,0.419,10,2,CLE @ DET,CLE,100,17,15,41500104,42015,36,W,22,86,1,41,0.882,31,6,0.361,4/24/16,6,1,1610612739
240,10,24,Detroit Pistons,22,0.487,7,-2,DET vs. CLE,DET,98,21,14,41500104,42015,37,L,18,76,4,42,0.667,35,3,0.417,4/24/16,9,1,1610612765
240,11,21,Indiana Pacers,19,0.43,9,10,IND @ TOR,IND,100,29,21,41500111,42015,34,W,25,79,8,38,0.724,29,11,0.524,4/16/16,13,1,1610612754
240,4,19,Toronto Raptors,17,0.38,20,-10,TOR vs. IND,TOR,90,38,26,41500111,42015,30,L,27,79,5,52,0.684,32,6,0.211,4/16/16,20,1,1610612761
240,5,18,Toronto Raptors,19,0.438,12,11,TOR vs. IND,TOR,98,25,23,41500112,42015,35,W,25,80,5,44,0.92,32,8,0.278,4/18/16,13,1,1610612761
240,4,20,Indiana Pacers,13,0.414,6,-11,IND @ TOR,IND,87,30,25,41500112,42015,29,L,23,70,3,33,0.833,27,7,0.2,4/18/16,13,1,1610612754
240,10,31,Toronto Raptors,18,0.415,15,16,TOR @ IND,TOR,101,16,13,41500113,42015,39,W,27,94,4,45,0.813,30,6,0.323,4/21/16,11,1,1610612761
240,6,22,Indiana Pacers,16,0.382,9,-16,IND vs. TOR,IND,85,33,27,41500113,42015,26,L,18,68,6,38,0.818,29,3,0.273,4/21/16,17,1,1610612754
