Team,Q1,Q2,Q3,Q4,Total
ATL,"(14, 82.42857142857143)","(14, 136.35714285714286)","(14, 272.64285714285717)","(14, 193.21428571428572)","(14, 684.6428571428571)"
BOS,"(17, 140.47058823529412)","(17, 238.2941176470588)","(17, 210.76470588235293)","(17, 200.47058823529412)","(17, 790.0)"
DAL,"(26, 143.1153846153846)","(26, 211.03846153846155)","(26, 227.19230769230768)","(26, 233.1153846153846)","(26, 814.4615384615385)"
GSW,"(17, 272.47058823529414)","(17, 253.52941176470588)","(17, 226.94117647058823)","(17, 235.88235294117646)","(17, 988.8235294117648)"
HOU,"(15, 145.86666666666667)","(15, 256.46666666666664)","(15, 301.53333333333336)","(15, 277.73333333333335)","(15, 981.6)"
LAC,"(15, 215.66666666666666)","(15, 198.06666666666666)","(15, 280.6)","(15, 360.3333333333333)","(15, 1054.6666666666667)"
OKC,"(14, 136.92857142857142)","(14, 285.07142857142856)","(14, 213.14285714285714)","(14, 235.0)","(14, 870.1428571428571)"
POR,"(22, 118.9090909090909)","(22, 185.72727272727272)","(22, 205.86363636363637)","(22, 251.9090909090909)","(22, 762.4090909090909)"
SAC,"(15, 158.73333333333332)","(15, 216.0)","(15, 192.06666666666666)","(15, 224.86666666666667)","(15, 791.6666666666666)"
SAS,"(18, 94.61111111111111)","(18, 185.5)","(18, 198.77777777777777)","(18, 286.22222222222223)","(18, 765.1111111111111)"
